Title	Authors	Corporate Authors	Editors	Book Editors	Source Title	Publication Date	Publication Year	Volume	Issue	Part Number	Supplement	Special Issue	Beginning Page	Ending Page	Article Number	DOI	Total Citations	Average per Year
Rapid detection of structural variation in a human genome using nanochannel-based genome mapping technology	"Cao, Hongzhi; Hastie, Alex R.; Cao, Dandan; Lam, Ernest T.; Sun, Yuhui; Huang, Haodong; Liu, Xiao; Lin, Liya; Andrews, Warren; Chan, Saki; Huang, Shujia; Tong, Xin; Requa, Michael; Anantharaman, Thomas; Krogh, Anders; Yang, Huanming; Cao, Han; Xu, Xun"				GIGASCIENCE	DEC 30 2014	2014	3							34	10.1186/2047-217X-3-34	44	11
The role of reporting standards for metabolite annotation and identification in metabolomic studies	"Salek, Reza M.; Steinbeck, Christoph; Viant, Mark R.; Goodacre, Royston; Dunn, Warwick B."				GIGASCIENCE	2013	2013	2							13	10.1186/2047-217X-2-13	40	8
Single-cell sequencing analysis characterizes common and cell-lineage-specific mutations in a muscle-invasive bladder cancer	"Li, Yingrui; Xu, Xun; Song, Luting; Hou, Yong; Li, Zesong; Tsang, Shirley; Li, Fuqiang; Im, Kate McGee; Wu, Kui; Wu, Hanjie; Ye, Xiaofei; Li, Guibo; Wang, Linlin; Zhang, Bo; Liang, Jie; Xie, Wei; Wu, Renhua; Jiang, Hui; Liu, Xiao; Yu, Chang; Zheng, Hancheng; Jian, Min; Nie, Liping; Wan, Lei; Shi, Min; Sun, Xiaojuan; Tang, Aifa; Guo, Guangwu; Gui, Yaoting; Cai, Zhiming; Li, Jingxiang; Wang, Wen; Lu, Zuhong; Zhang, Xiuqing; Bolund, Lars; Kristiansen, Karsten; Wang, Jian; Yang, Huanming; Dean, Michael; Wang, Jun"				GIGASCIENCE	2012	2012	1							12	10.1186/2047-217X-1-12	37	6.17
Comparative genomic data of the Avian Phylogenomics Project	"Zhang, Guojie; Li, Bo; Li, Cai; Gilbert, M. Thomas P.; Jarvis, Erich D.; Wang, Jun"	Avian Genome Consortium			GIGASCIENCE	DEC 11 2014	2014	3							26	10.1186/2047-217X-3-26	28	7
Between Two Fern Genomes	"Sessa, Emily B.; Banks, Jo Ann; Barker, Michael S.; Der, Joshua P.; Duffy, Aaron M.; Graham, Sean W.; Hasebe, Mitsuyasu; Langdale, Jane; Li, Fay-Wei; Marchant, D. Blaine; Pryer, Kathleen M.; Rothfels, Carl J.; Roux, Stanley J.; Salmi, Mari L.; Sigel, Erin M.; Soltis, Douglas E.; Soltis, Pamela S.; Stevenson, Dennis W.; Wolf, Paul G."				GIGASCIENCE	SEP 25 2014	2014	3							15	10.1186/2047-217X-3-15	27	6.75
The sequence and analysis of a Chinese pig genome	"Fang, Xiaodong; Mu, Yulian; Huang, Zhiyong; Li, Yong; Han, Lijuan; Zhang, Yanfeng; Feng, Yue; Chen, Yuanxin; Jiang, Xuanting; Zhao, Wei; Sun, Xiaoqing; Xiong, Zhiqiang; Yang, Lan; Liu, Huan; Fan, Dingding; Mao, Likai; Ren, Lijie; Liu, Chuxin; Wang, Juan; Li, Kui; Wang, Guangbiao; Yang, Shulin; Lai, Liangxue; Zhang, Guojie; Li, Yingrui; Wang, Jun; Bolund, Lars; Yang, Huanming; Wang, Jian; Feng, Shutang; Li, Songgang; Du, Yutao"				GIGASCIENCE	NOV 15 2012	2012	1							16	10.1186/2047-217X-1-16	27	4.5
High-coverage sequencing and annotated assemblies of the budgerigar genome	"Ganapathy, Ganeshkumar; Howard, Jason T.; Ward, James M.; Li, Jianwen; Li, Bo; Li, Yingrui; Xiong, Yingqi; Zhang, Yong; Zhou, Shiguo; Schwartz, David C.; Schatz, Michael; Aboukhalil, Robert; Fedrigo, Olivier; Bukovnik, Lisa; Wang, Ty; Wray, Greg; Rasolonjatovo, Isabelle; Winer, Roger; Knight, James R.; Koren, Sergey; Warren, Wesley C.; Zhang, Guojie; Phillippy, Adam M.; Jarvis, Erich D."				GIGASCIENCE	JUL 8 2014	2014	3							11	10.1186/2047-217X-3-11	26	6.5
Joint assembly and genetic mapping of the Atlantic horseshoe crab genome reveals ancient whole genome duplication	"Nossa, Carlos W.; Havlak, Paul; Yue, Jia-Xing; Lv, Jie; Vincent, Kimberly Y.; Brockmann, H. Jane; Putnam, Nicholas H."				GIGASCIENCE	MAY 14 2014	2014	3							9	10.1186/2047-217X-3-9	26	6.5
Comparison of variations detection between whole-genome amplification methods used in single-cell resequencing	"Hou, Yong; Wu, Kui; Shi, Xulian; Li, Fuqiang; Song, Luting; Wu, Hanjie; Dean, Michael; Li, Guibo; Tsang, Shirley; Jiang, Runze; Zhang, Xiaolong; Li, Bo; Liu, Geng; Bedekar, Niharika; Lu, Na; Xie, Guoyun; Liang, Han; Chang, Liao; Wang, Ting; Chen, Jianghao; Li, Yingrui; Zhang, Xiuqing; Yang, Huanming; Xu, Xun; Wang, Ling; Wang, Jun"				GIGASCIENCE	AUG 6 2015	2015	4							37	10.1186/s13742-015-0068-3	25	8.33
Clinical outcome of preimplantation genetic diagnosis and screening using next generation sequencing	"Tan, Yueqiu; Yin, Xuyang; Zhang, Shuoping; Jiang, Hui; Tan, Ke; Li, Jian; Xiong, Bo; Gong, Fei; Zhang, Chunlei; Pan, Xiaoyu; Chen, Fang; Chen, Shengpei; Gong, Chun; Lu, Changfu; Luo, Keli; Gu, Yifan; Zhang, Xiuqing; Wang, Wei; Xu, Xun; Vajta, Gabor; Bolund, Lars; Yang, Huanming; Lu, Guangxiu; Du, Yutao; Lin, Ge"				GIGASCIENCE	DEC 4 2014	2014	3							30	10.1186/2047-217X-3-30	25	6.25
The ocean sampling day consortium	"Kopf, Anna; Bicak, Mesude; Kottmann, Renzo; Schnetzer, Julia; Kostadinov, Ivaylo; Lehmann, Katja; Fernandez-Guerra, Antonio; Jeanthon, Christian; Rahav, Eyal; Ullrich, Matthias; Wichels, Antje; Gerdts, Gunnar; Polymenakou, Paraskevi; Kotoulas, Giorgos; Siam, Rania; Abdallah, Rehab Z.; Sonnenschein, Eva C.; Cariou, Thierry; O'Gara, Fergal; Jackson, Stephen; Orlic, Sandi; Steinke, Michael; Busch, Julia; Duarte, Bernardo; Cacador, Isabel; Canning-Clode, Joao; Bobrova, Oleksandra; Marteinsson, Viggo; Reynisson, Eyjolfur; Loureiro, Clara Magalhaes; Luna, Gian Marco; Quero, Grazia Marina; Loescher, Carolin R.; Kremp, Anke; DeLorenzo, Marie E.; Ovreas, Lise; Tolman, Jennifer; LaRoche, Julie; Penna, Antonella; Frischer, Marc; Davis, Timothy; Katherine, Barker; Meyer, Christopher P.; Ramos, Sandra; Magalhaes, Catarina; Jude-Lemeilleur, Florence; Leopoldina Aguirre-Macedo, Ma; Wang, Shiao; Poulton, Nicole; Jones, Scott; Collin, Rachel; Fuhrman, Jed A.; Conan, Pascal; Alonso, Cecilia; Stambler, Noga; Goodwin, Kelly; Yakimov, Michael M.; Baltar, Federico; Bodrossy, Levente; Van De Kamp, Jodie; Frampton, Dion M. F.; Ostrowski, Martin; Van Ruth, Paul; Malthouse, Paul; Claus, Simon; Deneudt, Klaas; Mortelmans, Jonas; Pitois, Sophie; Wallom, David; Salter, Ian; Costa, Rodrigo; Schroeder, Declan C.; Kandil, Mahrous M.; Amaral, Valentina; Biancalana, Florencia; Santana, Rafael; Pedrotti, Maria Luiza; Yoshida, Takashi; Ogata, Hiroyuki; Ingleton, Tim; Munnik, Kate; Rodriguez-Ezpeleta, Naiara; Berteaux-Lecellier, Veronique; Wecker, Patricia; Cancio, Ibon; Vaulot, Daniel; Bienhold, Christina; Ghazal, Hassan; Chaouni, Bouchra; Essayeh, Soumya; Ettamimi, Sara; Zaid, El Houcine; Boukhatem, Noureddine; Bouali, Abderrahim; Chahboune, Rajaa; Barrijal, Said; Timinouni, Mohammed; El Otmani, Fatima; Bennani, Mohamed; Mea, Marianna; Todorova, Nadezhda; Karamfilov, Ventzislav; ten Hoopen, Petra; Cochrane, Guy; L'Haridon, Stephane; Bizsel, Kemal Can; Vezzi, Alessandro; Lauro, Federico M.; Martin, Patrick; Jensen, Rachelle M.; Hinks, Jamie; Gebbels, Susan; Rosselli, Riccardo; De Pascale, Fabio; Schiavon, Riccardo; dos Santos, Antonina; Villar, Emilie; Pesant, Stephane; Cataletto, Bruno; Malfatti, Francesca; Edirisinghe, Ranjith; Silveira, Jorge A. Herrera; Barbier, Michele; Turk, Valentina; Tinta, Tinkara; Fuller, Wayne J.; Salihoglu, Ilkay; Serakinci, Nedime; Ergoren, Mahmut Cerkez; Bresnan, Eileen; Iriberri, Juan; Nyhus, Paul Anders Fronth; Bente, Edvardsen; Karlsen, Hans Erik; Golyshin, Peter N.; Gasol, Josep M.; Moncheva, Snejana; Dzhembekova, Nina; Johnson, Zackary; Sinigalliano, Christopher David; Gidley, Maribeth Louise; Zingone, Adriana; Danovaro, Roberto; Tsiamis, George; Clark, Melody S.; Costa, Ana Cristina; El Bour, Monia; Martins, Ana M.; Collins, R. Eric; Ducluzeau, Anne-Lise; Martinez, Jonathan; Costello, Mark J.; Amaral-Zettler, Linda A.; Gilbert, Jack A.; Davies, Neil; Field, Dawn; Gloeckner, Frank Oliver"				GIGASCIENCE	JUN 19 2015	2015	4							27	10.1186/s13742-015-0066-5	23	7.67
AXIOME: automated exploration of microbial diversity	"Lynch, Michael D. J.; Masella, Andre P.; Hall, Michael W.; Bartram, Andrea K.; Neufeld, Josh D."				GIGASCIENCE	MAR 13 2013	2013	2							3	10.1186/2047-217X-2-3	22	4.4
Resources for methylome analysis suitable for gene knockout studies of potential epigenome modifiers	"Wilson, Gareth A.; Dhami, Pawandeep; Feber, Andrew; Cortazar, Daniel; Suzuki, Yuka; Schulz, Reiner; Schaer, Primo; Beck, Stephan"				GIGASCIENCE	2012	2012	1							3	10.1186/2047-217X-1-3	21	3.5
Lessons learned from implementing a national infrastructure in Sweden for storage and analysis of next-generation sequencing data	"Lampa, Samuel; Dahlo, Martin; Olason, Pall I.; Hagberg, Jonas; Spjuth, Ola"				GIGASCIENCE	JUN 25 2013	2013	2							9	10.1186/2047-217X-2-9	20	4
Quantifying the use of bioresources for promoting their sharing in scientific research	"Mabile, Laurence; Dalgleish, Raymond; Thorisson, Gudmundur A.; Deschenes, Mylene; Hewitt, Robert; Carpenter, Jane; Bravo, Elena; Filocamo, Mirella; Gourraud, Pierre Antoine; Harris, Jennifer R.; Hofman, Paul; Kauffmann, Francine; Munoz-Fernandez, Maria Angeles; Pasterk, Markus; Cambon-Thomsen, Anne"	BRIF Working Grp			GIGASCIENCE	MAY 1 2013	2013	2							7	10.1186/2047-217X-2-7	20	4
Understanding how and why the Gene Ontology and its annotations evolve: the GO within UniProt	"Huntley, Rachael P.; Sawford, Tony; Martin, Maria J.; O'Donovan, Claire"				GIGASCIENCE	MAR 18 2014	2014	3							4	10.1186/2047-217X-3-4	19	4.75
A locally funded Puerto Rican parrot (Amazona vittata) genome sequencing project increases avian data and advances young researcher education	"Oleksyk, Taras K.; Pombert, Jean-Francois; Siu, Daniel; Mazo-Vargas, Anyimilehidi; Ramos, Brian; Guiblet, Wilfried; Afanador, Yashira; Ruiz-Rodriguez, Christina T.; Nickerson, Michael L.; Logue, David M.; Dean, Michael; Figueroa, Luis; Valentin, Ricardo; Martinez-Cruzado, Juan-Carlos"				GIGASCIENCE	SEP 28 2012	2012	1							14	10.1186/2047-217X-1-14	19	3.17
Species-level resolution of 16S rRNA gene amplicons sequenced through the MinION (TM) portable nanopore sequencer	"Benitez-Paez, Alfonso; Portune, Kevin J.; Sanz, Yolanda"				GIGASCIENCE	JAN 28 2016	2016	5							4	10.1186/s13742-016-0111-z	18	9
Tissue sampling methods and standards for vertebrate genomics	"Wong, Pamela B. Y.; Wiley, Edward O.; Johnson, Warren E.; Ryder, Oliver A.; O'Brien, Stephen J.; Haussler, David; Koepfli, Klaus-Peter; Houck, Marlys L.; Perelman, Polina; Mastromonaco, Gabriela; Bentley, Andrew C.; Venkatesh, Byrappa; Zhang, Ya-ping; Murphy, Robert W."	G10KCOS			GIGASCIENCE	2012	2012	1							8	10.1186/2047-217X-1-8	18	3
"RNA-Seq analysis and annotation of a draft blueberry genome assembly identifies candidate genes involved in fruit ripening, biosynthesis of bioactive compounds, and stage-specific alternative splicing"	"Gupta, Vikas; Estrada, April D.; Blakley, Ivory; Reid, Rob; Patel, Ketan; Meyer, Mason D.; Andersen, Stig Uggerhoj; Brown, Allan F.; Lila, Mary Ann; Loraine, Ann E."				GIGASCIENCE	FEB 13 2015	2015	4							5	10.1186/s13742-015-0046-9	17	5.67
Two Antarctic penguin genomes reveal insights into their evolutionary history and molecular changes related to the Antarctic environment	"Li, Cai; Zhang, Yong; Li, Jianwen; Kong, Lesheng; Hu, Haofu; Pan, Hailin; Xu, Luohao; Deng, Yuan; Li, Qiye; Jin, Lijun; Yu, Hao; Chen, Yan; Liu, Binghang; Yang, Linfeng; Liu, Shiping; Zhang, Yan; Lang, Yongshan; Xia, Jinquan; He, Weiming; Shi, Qiong; Subramanian, Sankar; Millar, Craig D.; Meader, Stephen; Rands, Chris M.; Fujita, Matthew K.; Greenwold, Matthew J.; Castoe, Todd A.; Pollock, David D.; Gu, Wanjun; Nam, Kiwoong; Ellegren, Hans; Ho, Simon Y. W.; Burt, David W.; Ponting, Chris P.; Jarvis, Erich D.; Gilbert, M. Thomas P.; Yang, Huanming; Wang, Jian; Lambert, David M.; Wang, Jun; Zhang, Guojie"				GIGASCIENCE	DEC 12 2014	2014	3							27	10.1186/2047-217X-3-27	17	4.25
Advances in genome editing technology and its promising application in evolutionary and ecological studies	"Chen, Lei; Tang, Linyi; Xiang, Hui; Jin, Lijun; Li, Qiye; Dong, Yang; Wang, Wen; Zhang, Guojie"				GIGASCIENCE	OCT 30 2014	2014	3							24	10.1186/2047-217X-3-24	17	4.25
"The 3,000 rice genomes project"	"Rellosa, Myla Christy; Reano, Renato A.; Capilit, Grace Lee S.; de Guzman, Flora C.; Ali, Jauhar; Hamilton, N. Ruaraidh Sackville; Mauleon, Ramil P.; Alexandrov, Nickolai N.; Leung, Hei"	3000 Rice Genomes Project			GIGASCIENCE	MAY 28 2014	2014	3							7	10.1186/2047-217X-3-7	17	4.25
The rise of a digital immune system	"Schatz, Michael C.; Phillippy, Adam M."				GIGASCIENCE	2012	2012	1							4	10.1186/2047-217X-1-4	16	2.67
Benchmark datasets for 3D MALDI- and DESI-imaging mass spectrometry	"Oetjen, Janina; Veselkov, Kirill; Watrous, Jeramie; McKenzie, James S.; Becker, Michael; Hauberg-Lotte, Lena; Kobarg, Jan Hendrik; Strittmatter, Nicole; Mroz, Anna K.; Hoffmann, Franziska; Trede, Dennis; Palmer, Andrew; Schiffler, Stefan; Steinhorst, Klaus; Aichler, Michaela; Goldin, Robert; Guntinas-Lichius, Orlando; von Eggeling, Ferdinand; Thiele, Herbert; Maedler, Kathrin; Walch, Axel; Maass, Peter; Dorrestein, Pieter C.; Takats, Zoltan; Alexandrov, Theodore"				GIGASCIENCE	MAY 4 2015	2015	4							20	10.1186/s13742-015-0059-4	15	5
A data repository and analysis framework for spontaneous neural activity recordings in developing retina	"Eglen, Stephen John; Weeks, Michael; Jessop, Mark; Simonotto, Jennifer; Jackson, Tom; Sernagor, Evelyne"				GIGASCIENCE	MAR 26 2014	2014	3							3	10.1186/2047-217X-3-3	15	3.75
The future of DNA sequence archiving	"Cochrane, Guy; Cook, Charles E.; Birney, Ewan"				GIGASCIENCE	2012	2012	1							2	10.1186/2047-217X-1-2	15	2.5
A single chromosome assembly of Bacteroides fragilis strain BE1 from Illumina and MinION nanopore sequencing data	"Risse, Judith; Thomson, Marian; Patrick, Sheila; Blakely, Garry; Koutsovoulos, Georgios; Blaxter, Mark; Watson, Mick"				GIGASCIENCE	DEC 4 2015	2015	4							60	10.1186/s13742-015-0101-6	14	4.67
Evaluating a multigene environmental DNA approach for biodiversity assessment	"Drummond, Alexei J.; Newcomb, Richard D.; Buckley, Thomas R.; Xie, Dong; Dopheide, Andrew; Potter, Benjamin C. M.; Heled, Joseph; Ross, Howard A.; Tooman, Leah; Grosser, Stefanie; Park, Duckchul; Demetras, Nicholas J.; Stevens, Mark I.; Russell, James C.; Anderson, Sandra H.; Carter, Anna; Nelson, Nicola"				GIGASCIENCE	OCT 6 2015	2015	4							46	10.1186/s13742-015-0086-1	14	4.67
Building a multi-scaled geospatial temporal ecology database from disparate data sources: fostering open science and data reuse	"Soranno, Patricia A.; Bissell, Edward G.; Cheruvelil, Kendra S.; Christel, Samuel T.; Collins, Sarah M.; Fergus, C. Emi; Filstrup, Christopher T.; Lapierre, Jean-Francois; Lottig, Noah R.; Oliver, Samantha K.; Scott, Caren E.; Smith, Nicole J.; Stopyak, Scott; Yuan, Shuai; Bremigan, Mary Tate; Downing, John A.; Gries, Corinna; Henry, Emily N.; Skaff, Nick K.; Stanley, Emily H.; Stow, Craig A.; Tan, Pang-Ning; Wagner, Tyler; Webster, Katherine E."				GIGASCIENCE	JUL 1 2015	2015	4							28	10.1186/s13742-015-0067-4	14	4.67
Shared data for intensity modulated radiation therapy (IMRT) optimization research: the CORT dataset	"Craft, David; Bangert, Mark; Long, Troy; Papp, David; Unkelbach, Jan"				GIGASCIENCE	DEC 12 2014	2014	3							37	10.1186/2047-217X-3-37	14	3.5
"Draft genome of the Chinese mitten crab, Eriocheir sinensis"	"Song, Linsheng; Bian, Chao; Luo, Yongju; Wang, Lingling; You, Xinxin; Li, Jia; Qiu, Ying; Ma, Xingyu; Zhu, Zhifei; Ma, Liang; Wang, Zhaogen; Lei, Ying; Qiang, Jun; Li, Hongxia; Yu, Juhua; Wong, Alex; Xu, Junmin; Shi, Qiong; Xu, Pao"				GIGASCIENCE	JAN 28 2016	2016	5							5	10.1186/s13742-016-0112-y	13	6.5
High-coverage sequencing and annotated assembly of the genome of the Australian dragon lizard Pogona vitticeps	"Georges, Arthur; Li, Qiye; Lian, Jinmin; O'Meally, Denis; Deakin, Janine; Wang, Zongji; Zhang, Pei; Fujita, Matthew; Patel, Hardip R.; Holleley, Clare E.; Zhou, Yang; Zhang, Xiuwen; Matsubara, Kazumi; Waters, Paul; Graves, Jennifer A. Marshall; Sarre, Stephen D.; Zhang, Guojie"				GIGASCIENCE	SEP 28 2015	2015	4							45	10.1186/s13742-015-0085-2	13	4.33
"LINKS: Scalable, alignment-free scaffolding of draft genomes with long reads"	"Warren, Rene L.; Yang, Chen; Vandervalk, Benjamin P.; Behsaz, Bahar; Lagman, Albert; Jones, Steven J. M.; Birol, Inanc"				GIGASCIENCE	AUG 4 2015	2015	4							35	10.1186/s13742-015-0076-3	13	4.33
How machine learning is shaping cognitive neuroimaging	"Varoquaux, Gael; Thirion, Bertrand"				GIGASCIENCE	NOV 17 2014	2014	3							28	10.1186/2047-217X-3-28	13	3.25
Dissemination of metabolomics results: role of MetaboLights and COSMOS	"Salek, Reza M.; Haug, Kenneth; Steinbeck, Christoph"				GIGASCIENCE	MAY 17 2013	2013	2							8	10.1186/2047-217X-2-8	13	2.6
"A test-retest fMRI dataset for motor, language and spatial attention functions"	"Gorgolewski, Krzysztof J.; Storkey, Amos; Bastin, Mark E.; Whittle, Ian R.; Wardlaw, Joanna M.; Pernet, Cyril R."				GIGASCIENCE	APR 29 2013	2013	2							6	10.1186/2047-217X-2-6	13	2.6
Crowdsourcing genomic analyses of ash and ash dieback - power to the people	"MacLean, Dan; Yoshida, Kentaro; Edwards, Anne; Crossman, Lisa; Clavijo, Bernardo; Clark, Matt; Swarbreck, David; Bashton, Matthew; Chapman, Patrick; Gijzen, Mark; Caccamo, Mario; Downie, Allan; Kamoun, Sophien; Saunders, Diane G. O."				GIGASCIENCE	FEB 12 2013	2013	2							2	10.1186/2047-217X-2-2	13	2.6
A call for an international network of genomic observatories (GOs)	"Davies, Neil; Meyer, Chris; Gilbert, Jack A.; Amaral-Zettler, Linda; Deck, John; Bicak, Mesude; Rocca-Serra, Philippe; Assunta-Sansone, Susanna; Willis, Kathy; Field, Dawn"				GIGASCIENCE	2012	2012	1							5	10.1186/2047-217X-1-5	13	2.17
"Genome sequence of the olive tree, Olea europaea"	"Cruz, Fernando; Julca, Irene; Gomez-Garrido, Jessica; Loska, Damian; Marcet-Houben, Marina; Cano, Emilio; Galan, Beatriz; Frias, Leonor; Ribeca, Paolo; Derdak, Sophia; Gut, Marta; Sanchez-Fernandez, Manuel; Luis Garcia, Jose; Gut, Ivo G.; Vargas, Pablo; Alioto, Tyler S.; Gabaldon, Toni"				GIGASCIENCE	JUN 27 2016	2016	5							29	10.1186/s13742-016-0134-5	12	6
Metabolome of human gut microbiome is predictive of host dysbiosis	"Larsen, Peter E.; Dai, Yang"				GIGASCIENCE	SEP 14 2015	2015	4							42	10.1186/s13742-015-0084-3	12	4
Phylogenomic analyses data of the avian phylogenomics project	"Jarvis, Erich D.; Mirarab, Siavash; Aberer, Andre J.; Li, Bo; Houde, Peter; Li, Cai; Ho, Simon Y. W.; Faircloth, Brant C.; Nabholz, Benoit; Howard, Jason T.; Suh, Alexander; Weber, Claudia C.; da Fonseca, Rute R.; Alfaro-Nunez, Alonzo; Narula, Nitish; Liu, Liang; Burt, Dave; Ellegren, Hans; Edwards, Scott V.; Stamatakis, Alexandros; Mindell, David P.; Cracraft, Joel; Braun, Edward L.; Warnow, Tandy; Jun, Wang; Gilbert, M. Thomas Pius; Zhang, Guojie"	Avian Phylogenomics Consortium			GIGASCIENCE	FEB 12 2015	2015	4							4	10.1186/s13742-014-0038-1	12	4
